
=== IMAGE SIZES AFTER CONVERSION ===

  126.5 KB  quran-tajweed-tarteel-course-online.webp
   20.8 KB  quran-translation-course-online.webp
   18.6 KB  dars-e-nizami-islamic-scholarship-course.webp
   16.4 KB  short-shariah-course-online.webp
   15.5 KB  seerat-un-nabi-course-online.webp
   14.9 KB  online-quran-memorization-hifz-classes.webp
   14.3 KB  arabic-language-course-online.webp
   14.1 KB  farz-e-uloom-essential-islamic-knowledge.webp
   11.9 KB  quran-qaida-beginners-course.webp
   10.9 KB  quran-tafseer-course-online.webp
   10.5 KB  online-quran-reading-course.webp
    8.2 KB  almaas-online-quran-academy-logo.webp
    8.2 KB  logo_v2.webp
    4.2 KB  new-muslim-quran-course-online.webp
